Data,Descrizione,Importo,Saldo
2024-01-02,ACCREDITO STIPENDIO ACME SRL,+2800.00,3200.00
2024-01-03,COOP SUPERMERCATI VIA ROMA,-87.50,3112.50
2024-01-04,NETFLIX.COM,-15.99,3096.51
2024-01-05,PRELIEVO ATM BNL VIA VENETO,-100.00,2996.51
2024-01-06,CARBURANTE Q8 AUTOSTRADA,-65.20,2931.31
2024-01-08,FARMACIA CENTRALE SRL,-22.80,2908.51
2024-01-10,ESSELUNGA SPA,-112.30,2796.21
2024-01-12,TRATTORIA DA MARIO,-38.00,2758.21
2024-01-13,BOLLETTA ENEL ENERGIA,-156.40,2601.81
2024-01-14,AMAZON.IT,-45.99,2555.82
2024-01-15,CANONE MENSILE CONTO,-8.00,2547.82
2024-01-16,SPOTIFY AB,-9.99,2537.83
2024-01-17,AUTOGRILL SPA,-12.50,2525.33
2024-01-18,DECATHLON SPA,-89.00,2436.33
2024-01-19,LIDL SUPERMERCATO,-54.70,2381.63
2024-01-20,VISITA MEDICO PRIVATO,-80.00,2301.63
2024-01-21,BOLLETTA TIM SRL,-35.90,2265.73
2024-01-22,CINEMA UCI MULTISALA,-24.00,2241.73
2024-01-23,PRIMARK STORES LTD,-67.50,2174.23
2024-01-24,PRELIEVO ATM UNICREDIT,-150.00,2024.23
2024-01-25,IKEA ITALIA SRL,-230.00,1794.23
2024-01-26,CARREFOUR MARKET,-43.20,1751.03
2024-01-27,IMPOSTA DI BOLLO,-2.00,1749.03
2024-01-28,DELIVEROO ITALY,-28.50,1720.53
2024-01-29,ZARA.COM,-54.99,1665.54
2024-01-30,COMMISSIONE BONIFICO,-1.50,1664.04
2024-01-31,PALESTRA FIT CLUB,-45.00,1619.04
