Data,Descrizione,Importo,Saldo
2024-02-01,ACCREDITO STIPENDIO ACME SRL,+2800.00,3000.00
2024-02-02,COOP SUPERMERCATI VIA ROMA,-90.00,2910.00
2024-02-03,NETFLIX.COM,-15.99,2894.01
2024-02-04,PRELIEVO ATM BNL VIA VENETO,-100.00,2794.01
2024-02-05,TRENITALIA SPA,-78.00,2716.01
2024-02-06,FARMACIA CENTRALE SRL,-45.00,2671.01
2024-02-08,ESSELUNGA SPA,-130.00,2541.01
2024-02-10,RISTORANTE IL CAPRIOLO,-55.00,2486.01
2024-02-11,DISNEY PLUS,-8.99,2477.02
2024-02-12,BOLLETTA ENEL ENERGIA,-160.00,2317.02
2024-02-13,AMAZON.IT,-55.00,2262.02
2024-02-14,CINEMA ODEON SAN VALENTINO,-30.00,2232.02
2024-02-15,CANONE MENSILE CONTO,-8.00,2224.02
2024-02-16,SPOTIFY AB,-9.99,2214.03
2024-02-17,CARBURANTE ENI STAZIONE,-90.00,2124.03
2024-02-18,ZARA.COM,-60.00,2064.03
2024-02-19,LIDL SUPERMERCATO,-60.00,2004.03
2024-02-20,VISITA MEDICO PRIVATO,-100.00,1904.03
2024-02-21,BOLLETTA TIM SRL,-35.90,1868.13
2024-02-22,TEATRO ALLA SCALA,-35.00,1833.13
2024-02-23,ZALANDO IT,-45.00,1788.13
2024-02-24,PRELIEVO ATM UNICREDIT,-100.00,1688.13
2024-02-25,PENNY MARKET,-50.00,1638.13
2024-02-26,CARREFOUR MARKET,-50.00,1588.13
2024-02-27,IMPOSTA DI BOLLO,-2.00,1586.13
2024-02-28,DELIVEROO ITALY,-45.00,1541.13
2024-02-29,PALESTRA FIT CLUB,-45.00,1496.13
