Data,Descrizione,Importo,Saldo
2024-03-01,ACCREDITO STIPENDIO ACME SRL,+2800.00,4100.00
2024-03-02,COOP SUPERMERCATI,-85.00,4015.00
2024-03-03,NETFLIX.COM,-15.99,3999.01
2024-03-05,TRENITALIA SPA,-95.00,3904.01
2024-03-06,CARBURANTE Q8 AUTOSTRADA,-75.00,3829.01
2024-03-07,FARMACIA CENTRALE SRL,-22.50,3806.51
2024-03-08,ESSELUNGA SPA,-110.00,3696.51
2024-03-10,TRATTORIA ROMANA,-40.00,3656.51
2024-03-11,BOLLETTA ENEL ENERGIA,-145.00,3511.51
2024-03-12,AMAZON.IT,-35.00,3476.51
2024-03-13,DECATHLON SPA,-65.00,3411.51
2024-03-14,CANONE MENSILE CONTO,-8.00,3403.51
2024-03-15,SPOTIFY AB,-9.99,3393.52
2024-03-16,DISNEY PLUS,-8.99,3384.53
2024-03-17,LIDL SUPERMERCATO,-55.00,3329.53
2024-03-18,MEDICO SPECIALISTA,-60.00,3269.53
2024-03-19,BOLLETTA TIM SRL,-35.90,3233.63
2024-03-20,CINEMA UCI MULTISALA,-20.00,3213.63
2024-03-21,H&M STORE,-55.00,3158.63
2024-03-22,PRELIEVO ATM UNICREDIT,-150.00,3008.63
2024-03-24,CARREFOUR MARKET,-50.00,2958.63
2024-03-25,IMPOSTA DI BOLLO,-2.00,2956.63
2024-03-26,JUST EAT ITALY,-22.00,2934.63
2024-03-27,PALESTRA FIT CLUB,-45.00,2889.63
2024-03-28,COMMISSIONE BONIFICO,-1.50,2888.13
2024-03-29,DAZN SPORT,-13.99,2874.14
2024-03-30,CARBURANTE ENI STAZIONE,-65.00,2809.14
